"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0259821",257.131844810788,1.08870706455135,0.161214198205408,6.7531711019906,1.4464818490879e-11,6.97070472592245e-10
"FBgn0085334",75.17372070507,-1.2290243496249,0.365938757355731,-3.3585520115601,0.000783519748818699,0.00849441371378608
"FBgn0037223",37.0249866260786,-2.08338047425818,0.396566076214772,-5.25355192795126,1.49193585858937e-07,4.27431933094832e-06
"FBgn0027570",39.4601557688146,-1.00187264492325,0.357126035113095,-2.80537554369559,0.00502579859335413,0.0392646291553574
"FBgn0037290",102.193870867952,3.08291708540737,0.266719874619569,11.5586327783208,6.67632924839074e-31,1.68668354375253e-28
"FBgn0000071",468.542035717475,2.59606292985159,0.148519920406183,17.479560470755,2.05073657015862e-68,1.70969907854124e-65
"FBgn0015568",306.453441402898,1.03756492159368,0.163589051140883,6.34250834244484,2.26053964494817e-10,9.14860146598684e-09
"FBgn0042102",15.7023266529421,1.52065325237035,0.548572520368294,2.77201864094365,0.00557098461880605,0.0424157979607178
"FBgn0266801",315.18196472067,1.15781336412189,0.208882967892396,5.54288066568607,2.97535645675838e-08,9.36058369056402e-07
"FBgn0051460",22.4455013547732,1.4784450395067,0.529150138589884,2.79399915390094,0.00520606148838763,0.0404124158553889
"FBgn0037635",282.01438536481,-1.02262922960435,0.149003567745422,-6.86311908552113,6.7373015890824e-12,3.44594376369202e-10
"FBgn0037646",60.0438566188139,-2.70347756839991,0.349439687839933,-7.73660709552341,1.02104978552052e-14,8.18508852104289e-13
"FBgn0037678",50.883859446659,1.76834967453167,0.358740770018423,4.92932452155036,8.25144121058455e-07,2.03461217785213e-05
"FBgn0261552",8915.94943566539,-1.78094706090806,0.151096912140051,-11.7867866105517,4.56633260938798e-32,1.31274189532647e-29
"FBgn0002868",158.318973829859,-2.0463388850494,0.208769591591582,-9.8019010788347,1.10486321552809e-22,1.56122790302672e-20
"FBgn0037754",394.55985906919,-2.31460471561202,0.160067681548091,-14.4601626838496,2.16286021501296e-47,1.38705889327408e-44
"FBgn0051477",62.5056551830919,1.05032878210571,0.289664507404011,3.62601822197278,0.000287825053051931,0.00372608302374837
"FBgn0265276",225.233338472011,1.85874413243174,0.188845124861979,9.84269058462718,7.37126421350778e-23,1.05955568531059e-20
"FBgn0038143",43.9232321050259,1.09433286235757,0.329741696821112,3.31875790325436,0.000904187834513659,0.00951794693982371
"FBgn0038149",1501.65007907418,1.06692603599328,0.106015140799967,10.0639024571631,7.97721008913328e-24,1.25483019836046e-21
"FBgn0051337",1399.88508514791,-1.02185821065967,0.128730832075733,-7.9379445792637,2.05559142903503e-15,1.80394376251211e-13
"FBgn0038198",92.5003926475262,2.34037308723169,0.297617837294898,7.86368555226313,3.72993163820065e-15,3.14105455229079e-13
"FBgn0038237",43.5064540044303,-2.20608921976569,0.453884211672831,-4.86046697159823,1.1710918177751e-06,2.76965769793048e-05
"FBgn0038261",44.2983446980558,1.5476133695255,0.341892544838952,4.52660753469923,5.99381056995274e-06,0.000125870021969008
"FBgn0263041",161.670666907361,-1.64198495731213,0.253477976694924,-6.47782098753438,9.30566608114108e-11,3.89855970444589e-09
"FBgn0038381",211.685059721421,-1.09074179606355,0.181972325610186,-5.99399822146634,2.04743612123615e-09,7.26360635861522e-08
"FBgn0063649",840.465771765621,-1.22157046520618,0.121370264965003,-10.0648249021984,7.90278308688891e-24,1.25483019836046e-21
"FBgn0024491",1269.22822272066,1.03751587179908,0.125939396882165,8.23821534392317,1.74798362287635e-16,1.63740892853035e-14
"FBgn0038484",39.56735583593,-1.30609075487247,0.385505067156557,-3.38799892957581,0.000704045390921908,0.00782616856548793
"FBgn0038528",231.343541930742,1.39143502769885,0.178556249008044,7.79269857778073,6.55929683829377e-15,5.36126056282894e-13
"FBgn0038545",122.825266709861,1.08409375267337,0.210673108158993,5.14585730540992,2.6630179862146e-07,7.16180030679713e-06
"FBgn0038832",429.804140495779,-2.68439468466432,0.175845927001746,-15.2656062635882,1.29617523495097e-52,9.00517744482188e-50
"FBgn0038865",405.931986917845,-1.02022487488554,0.146445044548337,-6.96660565082344,3.24679095066202e-12,1.72152159107098e-10
"FBgn0051163",20.5867158337565,1.5295976726913,0.474794017701608,3.22160266486888,0.00127475782787892,0.0128044048325621
"FBgn0039069",48.9212828355731,-1.04781779090561,0.333655218047126,-3.14042081235371,0.00168705309589377,0.016177110103289
"FBgn0039094",23.0410609416662,-1.72321170466606,0.468868337950763,-3.67525713550533,0.000237609979608317,0.00315438598725245
"FBgn0039098",460.900412915089,-1.00111405969031,0.154255094582704,-6.48999024893513,8.58419299178884e-11,3.63281304429155e-09
"FBgn0042106",42.782569972626,-1.2165351125055,0.393813551379982,-3.08911440005701,0.00200754119794823,0.0188478276658721
"FBgn0039109",664.00523300153,-1.327504295982,0.124504619687232,-10.6622894742124,1.52789157915695e-26,2.89500729441625e-24
"FBgn0039155",1087.08797833976,-4.59952339256196,0.152457235242519,-30.1692693380235,5.99485463143693e-200,4.99791030622897e-196
"FBgn0039178",23.5915493152695,2.27430582426535,0.500461233745714,4.54441956921069,5.5086836048006e-06,0.000116859784257564
"FBgn0051125",39.295222934602,1.29209869452338,0.347694460018938,3.71619005506444,0.000202249472458726,0.00273282634017569
"FBgn0039257",842.345202696346,-1.07447379043188,0.116926184554187,-9.18933423277775,3.95280197989374e-20,4.8637568131715e-18
"FBgn0051092",230.837394491924,2.24486258334752,0.175432242138333,12.7961802003157,1.72216102915889e-37,6.24245934786855e-35
"FBgn0002609",62.359001378828,-1.5092321465645,0.302984240934246,-4.98122325409009,6.31835947288134e-07,1.59624736137611e-05
"FBgn0039419",2683.75864128436,-1.15987787780092,0.0944689535255478,-12.2778736771679,1.19087096882486e-34,3.81857356426648e-32
"FBgn0026562",65125.9511518211,-2.46574167547365,0.0875425964259442,-28.1661931007441,1.51803835702591e-174,4.218628594175e-171
"FBgn0039464",1234.37439927586,1.05871359141098,0.108401996962356,9.76655062709433,1.56696328769145e-22,2.17729548824727e-20
"FBgn0039479",254.102817444745,1.47466021330662,0.159643320333096,9.23721838301626,2.52988357182692e-20,3.19570293004864e-18
"FBgn0039485",86.8395100007708,1.43283949565034,0.246423332952653,5.81454474493954,6.07991218787593e-09,2.05586165347334e-07
"FBgn0046258",12.7289115109116,2.09681510892145,0.660911477210625,3.17261113057236,0.00151074728019102,0.0147648780104715
"FBgn0053346",17.6866361434183,1.61228309981151,0.559039469536219,2.88402373655131,0.00392629157513027,0.0323694515032382
"FBgn0039593",63.9249473948255,1.89388438587063,0.31399614650776,6.03155295672977,1.62391490582883e-09,5.88633850865e-08
"FBgn0265274",69.2830992274083,1.32060385340568,0.292617928998745,4.51306540895978,6.38973052069022e-06,0.000133177958377486
"FBgn0039640",107.537997821496,-1.73648214298267,0.247038236976348,-7.02920391691804,2.07715224430258e-12,1.17804205855446e-10
"FBgn0002773",59.6483761531829,-1.05757362332056,0.311085105292289,-3.39962796459472,0.000674775969769028,0.00763238016504807
"FBgn0039759",22.6218657621233,1.76441775700973,0.490087073019195,3.60021280736908,0.000317956845572074,0.00406565371400979
"FBgn0039788",25.8008829331562,1.81788480173657,0.465104592617875,3.90855052947224,9.28515287044946e-05,0.00136526136650683
"FBgn0024288",86.6226993987767,-4.60667692849238,0.393407890983655,-11.7096708888429,1.13720175463039e-31,3.05833904140438e-29
"FBgn0039827",390.945915049235,-4.10320518228574,0.193883570044296,-21.1632433905993,2.08383756139335e-99,2.48185053561948e-96
"FBgn0027111",34.6821204109439,-1.09810622913844,0.399758884132902,-2.74692138867729,0.00601575515570255,0.0452239411479641
"FBgn0029002",2268.58858386979,1.43138206917369,0.372556491235222,3.84205376325051,0.000122009101429294,0.00172697772260785
"FBgn0052845",18.8522918867833,1.35974494987456,0.493266949023381,2.75661070048726,0.00584038395824579,0.0442245967846459
"FBgn0016715",202.35399043836,-2.26473353885337,0.197466924276992,-11.4689259841642,1.88990283203939e-30,4.25841078667902e-28
"FBgn0265706",41.6628103063734,-1.39826690664216,0.415350630985435,-3.36647353423955,0.000761358876084726,0.00830817925381984
"FBgn0263042",63.3371176885087,-1.43325516438035,0.308125095179371,-4.6515366219879,3.29470748830201e-06,7.24748715830446e-05
"FBgn0035147",28919.5642815037,-1.18427889992614,0.110218568140412,-10.7448220377662,6.26826886028585e-27,1.21531529042333e-24
"FBgn0264475",955.60147347676,-2.52296718220661,0.133304365413519,-18.9263657974006,6.9173068744305e-80,7.20869842651589e-77
"FBgn0054057",47.9304499984408,-1.00542410450561,0.360166459167986,-2.79155395765674,0.00524556108889875,0.0405887300536802
"FBgn0063667",19.172552021535,2.75881030809759,0.555633077898744,4.96516571427077,6.8642432417784e-07,1.71853441161281e-05
"FBgn0035189",307.431129260941,2.8959915713477,0.207575964264645,13.9514783496585,3.08151072928528e-44,1.71270366333676e-41
"FBgn0020248",52.5450408728001,1.98913218258586,0.312305187112375,6.36919354743257,1.90024690275147e-10,7.8041174523345e-09
"FBgn0052313",21.1729497836464,-1.59630834957756,0.520216913883813,-3.06854373046025,0.00215104843506129,0.0199480431625205
"FBgn0035267",54.2008548136702,1.0617228188315,0.319144524737214,3.32677748335407,0.000878564989810245,0.00933069594910575
"FBgn0035344",114.306251958061,-1.64926730463566,0.224060501818543,-7.36081233082007,1.82794403669469e-13,1.24914503556751e-11
"FBgn0259224",447.62243593327,1.10460113301545,0.184126730227885,5.99913511551711,1.98371247906429e-09,7.06761151194828e-08
"FBgn0035523",71.1927514572139,1.59673808981971,0.346818936525149,4.60395301888001,4.14546019044609e-06,8.97680561240236e-05
"FBgn0035539",31.141497179206,1.90725437419263,0.47660064888696,4.0017871957304,6.28658280878564e-05,0.000963441927883197
"FBgn0262733",552.44815469227,2.08084724044733,0.161423616078901,12.8905998452559,5.08467739874929e-38,1.92686161242604e-35
"FBgn0262870",44.4775644740323,-1.58544973301394,0.355952931660769,-4.45409938223212,8.42460733652677e-06,0.000170628894929662
"FBgn0052407",285.705526899151,-2.09984086938282,0.164751261749381,-12.7455222320366,3.30172403393188e-37,1.14693638628709e-34
"FBgn0035710",26.2206085969151,2.19392849075452,0.48231634897295,4.54873340998351,5.39697606456771e-06,0.000114782115944645
"FBgn0035727",100.265945956031,1.6409756159786,0.233964951054881,7.01376684234075,2.31985874503314e-12,1.29803103069405e-10
"FBgn0259935",80.4668424433522,1.07292895780366,0.255721865639864,4.19568719756909,2.72045486731214e-05,0.000470548386489238
"FBgn0035932",43.9034546352553,1.43913012420162,0.372416473672818,3.864303074482,0.00011140682639933,0.00159371898584502
"FBgn0035957",20.2444813430831,1.59183071838317,0.530100954600485,3.0028821954921,0.00267435932050048,0.0238716634421975
"FBgn0000116",957.566336228213,1.1769195081905,0.143840735973094,8.18210154605053,2.78935833807227e-16,2.55548136972621e-14
"FBgn0023479",4589.0667432429,-1.53865426830826,0.122411719983329,-12.5695012578681,3.10677575998253e-36,1.03604758043898e-33
"FBgn0040827",317.030790352836,-1.94270524720466,0.168320221420867,-11.5417222648914,8.12812831141488e-31,1.99306487447841e-28
"FBgn0035968",428.934019330679,1.07993328448373,0.141505321226923,7.63175034776187,2.31587586285397e-14,1.78772750635311e-12
"FBgn0035969",18.5109682937427,1.99508495614816,0.545461940336805,3.65760616573223,0.00025458182209053,0.00333718341315841
"FBgn0001225",608.229795092983,1.32292809851707,0.133023078996261,9.94510207175591,2.64902317282397e-23,3.94373324854169e-21
"FBgn0001224",867.037331872732,1.46056482375129,0.13326716093414,10.9596753882458,5.97131664696051e-28,1.24457167214274e-25
"FBgn0001226",1767.21859250606,1.68121608261044,0.128689098115103,13.0641686610215,5.27578178712794e-39,2.09448536948979e-36
"FBgn0036181",50.1334165453088,-1.02386548382566,0.35745807353346,-2.86429531078928,0.00417938171625078,0.0337630865972701
"FBgn0036287",24.4776722520632,1.47632906283239,0.496892782103613,2.97112197239473,0.00296713912001474,0.0259842844995409
"FBgn0036373",5495.38032891999,-1.05438567287222,0.143760992706052,-7.33429599382446,2.22889999423446e-13,1.4985757461236e-11
"FBgn0029167",5432.38764855756,-2.19090780745698,0.0975661268831733,-22.4556193573247,1.12774417677153e-111,1.88040064034885e-108
"FBgn0263232",438.852518292797,1.32000301217322,0.145809088420129,9.05295428752569,1.39151556835375e-19,1.63395285822045e-17
"FBgn0087007",196.290235003694,1.03491622594028,0.205025826504512,5.04773590520074,4.47076562756705e-07,1.17951813408312e-05
"FBgn0264702",107.168614548112,1.05170683477285,0.258149503056404,4.07402231002189,4.620805209817e-05,0.000742266917808176
"FBgn0004396",3543.88181035141,1.11504679000778,0.156254339117443,7.13610128400783,9.60152731107778e-13,5.75884411456514e-11
"FBgn0036560",27.7836009140798,2.18199744339659,0.447971398160911,4.87084097858591,1.11124250639424e-06,2.63943839766632e-05
"FBgn0041721",33.3893196646044,1.22640906742856,0.413798902786595,2.96378037537003,0.00303885087055187,0.0265286907934983
"FBgn0010223",81.77939181668,-1.30552865579488,0.253041477030317,-5.15934648784263,2.47813319079427e-07,6.75169817374243e-06
"FBgn0052185",31.6013235305853,1.42456694330006,0.388250093817517,3.6691992248935,0.000243311415595882,0.00319446814460294
"FBgn0000567",379.173636193777,-1.25276785977784,0.163309484308838,-7.67112740010069,1.70491100756964e-14,1.33555179783463e-12
"FBgn0264748",18.9027956568788,1.721367093602,0.520272589745043,3.30858693602434,0.000937680678522142,0.00984564712448249
"FBgn0036801",51.7492083463922,-1.27395245690155,0.314182695446639,-4.05481420639832,5.01741664233998e-05,0.000793741983817618
"FBgn0036821",610.031482284655,-1.73373251340899,0.459035503257658,-3.77690287811101,0.000158790614805669,0.00219178370138223
"FBgn0002945",84.4468910820907,-1.05771924442948,0.307814513155609,-3.43622278750311,0.000589885679989633,0.00680204275805473
"FBgn0036862",433.330517813657,1.07478046097327,0.388985270736452,2.76303639708113,0.00572663802067903,0.0434422030740683
"FBgn0267635",261.093472427671,1.24001635206601,0.171306402068518,7.23858733294767,4.53382225627713e-13,2.90757508850634e-11
"FBgn0036985",2824.34500269937,-1.32917805867789,0.149216064915797,-8.90774099576984,5.20828988238037e-19,5.78953503325401e-17
"FBgn0037046",36.6665887959347,1.69307464428825,0.390817902115836,4.33213175528084,1.47672521911637e-05,0.000279805867085754
"FBgn0037153",195.038039810417,1.72758734768989,0.188007121054846,9.18894634414357,3.96708004432844e-20,4.8637568131715e-18
